RCP85__EMISSIONS____________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTENT:           GLOBAL ANNUAL EMISSIONS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RUN:               RCP8.5, FINAL RELEASE, 26 Nov. 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RCP8.5 CONTACT:    MESSAGE group, Keywan Riahi (riahi@iiasa.ac.at)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE:              26/11/2009 11:29:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAGICC-VERSION:    6.3.09, 25 November 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FILE PRODUCED BY:  RCP Concentration Calculation & Data Group, M. Meinshausen, S. Smith, K. Riahi, D. van Vuuren",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DOCUMENTATION:     M. Meinshausen, S. Smith et al. ""The RCP GHG concentrations and their extension from 1765 to 2500"", in prep., Climatic Change.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMIP5 INFO:        http://cmip-pcmdi.llnl.gov/cmip5/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCP DATABASE:      http://www.iiasa.ac.at/web-apps/tnt/RcpDb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FURTHER INFO:      For data sources, aknowledgements and further information, see http://www.pik-potsdam.de/~mmalte/rcps.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE:              THIS EMISSION DATASET ONLY TO BE USED FOR EMISSION-DRIVEN ESM CMIP5 RUNS, AS CONCENTRATIONS, NOT EMISSIONS, SHALL BE PRESCRIBED IN MAIN CMIP5 RUNS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                   RCP8.5 starts 2005; 20th century data and earlier is provided for convenience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMN_DESCRIPTION________________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. FossilCO2        - Fossil & Industrial CO2 (Fossil, Cement, Gas Flaring & Bunker Fuels)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. OtherCO2         - Landuse related CO2 Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. CH4              - Methane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. N2O              - Nitrous Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5. - 11.            - Tropospheric ozone precursors, aerosols and reactive gas emissions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12. - 23.           - Flourinated gases controlled under the Kyoto Protocol, (HFCs, PFCs, SF6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24. - 39.           - Ozone Depleting Substances controlled under the Montreal Protocol (CFCs, HFCFC, Halons, CCl4, MCF, CH3Br, CH3Cl)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
&THISFILE_SPECIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_DATACOLUMNS,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_FIRSTYEAR,1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_LASTYEAR,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_ANNUALSTEPS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_FIRSTDATAROW,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_UNITS,SEE ROW 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_DATTYPE,RCPDAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMN:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
UNITS:,GtC/yr,GtC/yr,MtCH4/yr,MtN2O-N/yr,MtS/yr,MtCO/yr,Mt/yr,MtN/yr,Mt/yr,Mt/yr,MtN/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr
